iter	MultiClass
0	1.729472616
1	1.651379327
2	1.588921865
3	1.520465765
4	1.467932992
5	1.416111692
6	1.367173791
7	1.320761126
8	1.288805074
9	1.245252853
10	1.208830266
11	1.178778689
12	1.149547501
13	1.119248301
14	1.093362066
15	1.071361458
16	1.049216751
17	1.027187766
18	1.004414007
19	0.9870917955
20	0.968230388
21	0.9564582799
22	0.9384680787
23	0.9162694445
24	0.8967128226
25	0.8806424245
26	0.8661834126
27	0.8538723722
28	0.8418745506
29	0.827263836
30	0.8164225252
31	0.8076192979
32	0.793722144
33	0.785790629
34	0.7756784707
35	0.7686191469
36	0.7607848094
37	0.7479471798
38	0.7370342812
39	0.7252311767
40	0.7154267495
41	0.7045765779
42	0.6959090707
43	0.6878379383
44	0.6791903904
45	0.6706253242
46	0.6632293643
47	0.6567924175
48	0.6500878564
49	0.6425624731
50	0.6341971906
51	0.6284334856
52	0.6235631327
53	0.6175038369
54	0.6132311885
55	0.6065529835
56	0.6004097385
57	0.5957370257
58	0.5907293966
59	0.5860654967
60	0.5791231302
61	0.5730845741
62	0.5673126066
63	0.5614514934
64	0.5575748596
65	0.5517138068
66	0.5452308175
67	0.5399514941
68	0.5358850151
69	0.5300365379
70	0.5268419271
71	0.5225895256
72	0.5161027935
73	0.5123369106
74	0.5077817823
75	0.5050355119
76	0.4998916575
77	0.4950550753
78	0.4879655928
79	0.4830383652
80	0.4802226629
81	0.4776824387
82	0.4721571568
83	0.4659073864
84	0.4612779658
85	0.4576674941
86	0.4549305333
87	0.4497666905
88	0.4456547213
89	0.4416567588
90	0.4382930434
91	0.4335438144
92	0.4311595669
93	0.4278716017
94	0.4240077675
95	0.4201693931
96	0.4159987157
97	0.4123952352
98	0.4095755443
99	0.4072017948
100	0.4039456246
101	0.4008220077
102	0.3984217921
103	0.3961882187
104	0.3936476943
105	0.3895583211
106	0.3874347232
107	0.3847670228
108	0.3825755845
109	0.3798872324
110	0.3774734379
111	0.3741289032
112	0.3708426488
113	0.366943388
114	0.3640672601
115	0.3608424967
116	0.3579098768
117	0.3552415433
118	0.3536818776
119	0.3494540351
120	0.3473798698
121	0.3454348488
122	0.3424608846
123	0.3392925401
124	0.3361015779
125	0.3342907906
126	0.3308692454
127	0.3286461853
128	0.32699083
129	0.3251465433
130	0.3235422225
131	0.3218774341
132	0.3201632552
133	0.3174900395
134	0.3141592863
135	0.3130449995
136	0.3108112655
137	0.3084011845
138	0.3059464166
139	0.3037527741
140	0.3007756607
141	0.2978668329
142	0.2955054249
143	0.2934197123
144	0.2917586113
145	0.289240734
146	0.2880478896
147	0.2862251649
148	0.2848965524
149	0.28300141
150	0.2814108138
151	0.279468718
152	0.2780687865
153	0.2756925708
154	0.2742018225
155	0.2724598043
156	0.2709235088
157	0.2688042703
158	0.2676564315
159	0.2664324098
160	0.2647257681
161	0.2634435691
162	0.2622474834
163	0.2598903174
164	0.2583701878
165	0.2569472239
166	0.2556452833
167	0.2543198612
168	0.2530544529
169	0.2517009416
170	0.2504243311
171	0.2489819283
172	0.247062746
173	0.2454480518
174	0.2440674976
175	0.2430535368
176	0.2416789039
177	0.2403513378
178	0.2383306763
179	0.2373600716
180	0.2361677988
181	0.2347333344
182	0.2331296036
183	0.2321086223
184	0.2303600122
185	0.2294250814
186	0.228384144
187	0.2269484193
188	0.2253722961
189	0.2242215342
190	0.2229261124
191	0.2217457101
192	0.2205459925
193	0.2198908514
194	0.2188256676
195	0.2178307746
196	0.2168893732
197	0.2162275945
198	0.2151504825
199	0.2144386518
200	0.2131588895
201	0.21240645
202	0.2113890055
203	0.2104666738
204	0.2095461241
205	0.2086080772
206	0.2078882927
207	0.2066583454
208	0.2054144619
209	0.2045690699
210	0.203054201
211	0.2025363838
212	0.2014348887
213	0.2007269416
214	0.1997340737
215	0.1985873042
216	0.1973804678
217	0.1960962534
218	0.1950965782
219	0.1940632285
220	0.1929150964
221	0.191778597
222	0.1909157241
223	0.1901152243
224	0.1891301342
225	0.1881667143
226	0.187457319
227	0.1866013716
228	0.1856407674
229	0.1851063231
230	0.1842951193
231	0.1836657944
232	0.1831073201
233	0.1824020203
234	0.1817088581
235	0.1808646635
236	0.1804558775
237	0.1795089363
238	0.1791269348
239	0.1784771982
240	0.1774918888
241	0.1770736591
242	0.1765168119
243	0.1759239108
244	0.175273859
245	0.1747718126
246	0.1741283826
247	0.1732233143
248	0.1728005672
249	0.171885114
250	0.1709047046
251	0.1703121309
252	0.1698893326
253	0.1688285368
254	0.1678140171
255	0.1672176866
256	0.166618518
257	0.1657952467
258	0.1651148505
259	0.1645074583
260	0.1637908217
261	0.1634591835
262	0.1630301283
263	0.16241091
264	0.1617643102
265	0.1613889257
266	0.1610008093
267	0.1602703683
268	0.1594753105
269	0.1589348503
270	0.1582792092
271	0.1573519187
272	0.156856035
273	0.1561529492
274	0.1557073138
275	0.1552703738
276	0.1549071381
277	0.154568437
278	0.1538743707
279	0.1534572152
280	0.1529968821
281	0.152573223
282	0.1518277605
283	0.1508879495
284	0.1503114026
285	0.1496333531
286	0.149333816
287	0.1488829368
288	0.148535472
289	0.1479083162
290	0.1471605653
291	0.1464622707
292	0.1459503386
293	0.1450687574
294	0.144463852
295	0.1439967605
296	0.1435761311
297	0.1430115257
298	0.1423240777
299	0.141982938
300	0.141625872
301	0.1408494737
302	0.140556195
303	0.1399815166
304	0.1396650982
305	0.1392021185
306	0.1388136733
307	0.1385482476
308	0.1381393334
309	0.1377567294
310	0.1372753879
311	0.1366740161
312	0.1363141842
313	0.1359445001
314	0.1354747406
315	0.1348703026
316	0.1343658475
317	0.1335541224
318	0.1332517282
319	0.1325989625
320	0.1323855709
321	0.1318822003
322	0.1312916722
323	0.1310223401
324	0.1305804233
325	0.1300341621
326	0.1297092126
327	0.1294500227
328	0.1287798178
329	0.1284996969
330	0.1280436873
331	0.1278201939
332	0.1273246369
333	0.1266290223
334	0.1262440878
335	0.1260201611
336	0.125743185
337	0.1251586589
338	0.1248076629
339	0.1245884309
340	0.1239346095
341	0.1235757957
342	0.1230956008
343	0.122676566
344	0.1221968021
345	0.1218010726
346	0.121168513
347	0.1207038993
348	0.1204927208
349	0.1203072963
350	0.1198219703
351	0.1193770285
352	0.1187840502
353	0.1182923413
354	0.1180165868
355	0.1175946104
356	0.1173041387
357	0.1170043955
358	0.1166173263
359	0.1160502546
360	0.1156111281
361	0.1153444738
362	0.1150560132
363	0.1145747011
364	0.1142399202
365	0.1136460728
366	0.1133295376
367	0.1130320644
368	0.1127697955
369	0.1124585952
370	0.1123167866
371	0.1120144117
372	0.1116962106
373	0.1113677247
374	0.110937886
375	0.1105352262
376	0.1101936054
377	0.1098327078
378	0.1096401415
379	0.1094428238
380	0.1091416874
381	0.1090190833
382	0.1084396525
383	0.1082648126
384	0.1079467998
385	0.1077156586
386	0.107387671
387	0.1070979294
388	0.1065255384
389	0.1063730932
390	0.1061548262
391	0.1059960587
392	0.1057490775
393	0.1053415799
394	0.1050681642
395	0.1049238007
396	0.1046968685
397	0.1043410945
398	0.1041166704
399	0.1038610706
400	0.1035697394
401	0.1032187234
402	0.1028954983
403	0.1025952076
404	0.1022090714
405	0.10198636
406	0.1016166981
407	0.1014720933
408	0.1012266711
409	0.1009458762
410	0.100573031
411	0.1003062378
412	0.09997222052
413	0.09958887706
414	0.09920392938
415	0.09900939119
416	0.09881151721
417	0.09861584941
418	0.09831520092
419	0.09806012037
420	0.09777755626
421	0.09740853277
422	0.09707470076
423	0.09695906883
424	0.09658595077
425	0.09643195354
426	0.09627079251
427	0.09606995053
428	0.09577325538
429	0.09545710228
430	0.09515501249
431	0.09499775379
432	0.09478456227
433	0.09449621834
434	0.09422941295
435	0.09401564666
436	0.09388196529
437	0.09366339474
438	0.09345879737
439	0.09316672083
440	0.09295224048
441	0.09261511583
442	0.09236564941
443	0.09210500609
444	0.091839777
445	0.09165346385
446	0.09126777326
447	0.09113450913
448	0.09083869386
449	0.09059158774
450	0.09043443472
451	0.09028019689
452	0.09004818946
453	0.08977418827
454	0.08959378712
455	0.08930006119
456	0.08916448103
457	0.08901747338
458	0.08875610988
459	0.08860463917
460	0.08841101188
461	0.08819810571
462	0.08804623614
463	0.08788660542
464	0.08774796404
465	0.08747915806
466	0.08731315207
467	0.08713386132
468	0.08694928557
469	0.08670875432
470	0.08655984082
471	0.08641117701
472	0.08618391879
473	0.08599920868
474	0.08568355177
475	0.08542121421
476	0.08520057697
477	0.08505218356
478	0.08484113735
479	0.08467261946
480	0.08458270132
481	0.08435925382
482	0.08416022434
483	0.08403337807
484	0.08386007902
485	0.08373562258
486	0.08359826263
487	0.08340602972
488	0.08320710228
489	0.08306710332
490	0.08295157552
491	0.08283993665
492	0.08268562475
493	0.08235195492
494	0.08221493805
495	0.08204060288
496	0.08189600089
497	0.08169477596
498	0.0813922806
499	0.08124558889
500	0.08114644808
501	0.08098017838
502	0.08084079436
503	0.08051369255
504	0.0803480251
505	0.08023186879
506	0.08004925947
507	0.07995540921
508	0.07984365198
509	0.07973281163
510	0.07951107517
511	0.07933024429
512	0.07915817609
513	0.07899377596
514	0.07885577422
515	0.07866229837
516	0.07850196472
517	0.07833802297
518	0.07813763611
519	0.07791708674
520	0.07778024752
521	0.0776651179
522	0.07740132821
523	0.07731070013
524	0.07717142032
525	0.0769152658
526	0.07679716404
527	0.07661747409
528	0.07645382272
529	0.07618219402
530	0.07598226245
