iter	Passed	Remaining
0	77	77822
1	91	45636
2	109	36525
3	142	35531
4	185	36904
5	225	37372
6	259	36872
7	279	34707
8	300	33035
9	337	33449
10	368	33174
11	404	33291
12	433	32888
13	450	31750
14	475	31226
15	495	30485
16	518	29981
17	551	30096
18	589	30448
19	614	30123
20	647	30203
21	683	30399
22	701	29778
23	718	29221
24	741	28930
25	759	28442
26	781	28167
27	907	31497
28	950	31812
29	977	31615
30	994	31082
31	1012	30620
32	1036	30361
33	1047	29760
34	1062	29299
35	1090	29208
36	1108	28850
37	1134	28721
38	1157	28513
39	1173	28154
40	1188	27790
41	1204	27482
42	1215	27054
43	1224	26614
44	1242	26375
45	1269	26324
46	1306	26486
47	1329	26366
48	1343	26071
49	1363	25897
50	1374	25570
51	1387	25289
52	1407	25148
53	1424	24950
54	1434	24654
55	1447	24403
56	1462	24189
57	1485	24119
58	1496	23875
59	1508	23635
60	1526	23500
61	1537	23267
62	1550	23061
63	1565	22898
64	1583	22777
65	1634	23130
66	1660	23129
67	1676	22971
68	1729	23331
69	1769	23504
70	1795	23488
71	1812	23357
72	1832	23267
73	1860	23280
74	1906	23507
75	1922	23377
76	1935	23205
77	1951	23066
78	1977	23055
79	1998	22982
80	2008	22784
81	2027	22692
82	2039	22532
83	2052	22381
84	2066	22245
85	2079	22105
86	2105	22092
87	2135	22133
88	2189	22407
89	2267	22926
90	2298	22962
91	2349	23190
92	2366	23079
93	2382	22965
94	2395	22823
95	2407	22672
96	2417	22504
97	2429	22363
98	2441	22218
99	2453	22079
100	2469	21983
101	2479	21831
102	2490	21689
103	2501	21551
104	2511	21409
105	2522	21271
106	2533	21146
107	2547	21041
108	2559	20925
109	2583	20903
110	2608	20890
111	2620	20775
112	2632	20662
113	2646	20571
114	2665	20514
115	2683	20447
116	2698	20366
117	2715	20297
118	2730	20215
119	2745	20131
120	2759	20046
121	2781	20017
122	2793	19918
123	2803	19807
124	2815	19711
125	2828	19618
126	2839	19517
127	2850	19417
128	2861	19318
129	2875	19241
130	2885	19140
131	2896	19045
132	2906	18947
133	2918	18860
134	2931	18781
135	2943	18700
136	2956	18621
137	2969	18546
138	2986	18496
139	2996	18404
140	3007	18321
141	3018	18239
142	3027	18144
143	3037	18057
144	3046	17965
145	3056	17875
146	3068	17808
147	3085	17759
148	3094	17676
149	3117	17668
150	3128	17592
151	3139	17512
152	3152	17452
153	3169	17413
154	3185	17364
155	3195	17289
156	3205	17213
157	3221	17168
158	3231	17093
159	3245	17036
160	3255	16963
161	3269	16913
162	3283	16862
163	3296	16803
164	3308	16745
165	3319	16677
166	3329	16608
167	3338	16531
168	3351	16479
169	3366	16437
170	3376	16370
171	3385	16296
172	3397	16239
173	3408	16179
174	3420	16123
175	3430	16062
176	3443	16012
177	3452	15945
178	3470	15917
179	3484	15874
180	3496	15819
181	3514	15796
182	3525	15741
183	3543	15716
184	3558	15674
185	3568	15618
186	3583	15581
187	3595	15529
188	3607	15478
189	3617	15421
190	3629	15371
191	3640	15318
192	3651	15269
193	3662	15217
194	3673	15166
195	3686	15122
196	3696	15069
197	3712	15036
198	3722	14984
199	3735	14940
200	3745	14890
201	3756	14841
202	3771	14807
203	3788	14784
204	3815	14797
205	3832	14771
206	3843	14725
207	3854	14675
208	3863	14620
209	3873	14569
210	3881	14513
211	3888	14455
212	3897	14401
213	3908	14354
214	3921	14316
215	3930	14266
216	3940	14216
217	3953	14181
218	3963	14133
219	3972	14085
220	3983	14040
221	3993	13996
222	4005	13955
223	4017	13917
224	4026	13867
225	4034	13818
226	4048	13785
227	4061	13752
228	4072	13709
229	4084	13673
230	4095	13635
231	4109	13603
232	4119	13560
233	4131	13524
234	4142	13484
235	4152	13442
236	4165	13410
237	4176	13372
238	4193	13351
239	4205	13317
240	4216	13280
241	4226	13239
242	4236	13196
243	4247	13159
244	4257	13120
245	4266	13075
246	4277	13039
247	4288	13003
248	4297	12961
249	4309	12928
250	4322	12897
251	4330	12854
252	4343	12824
253	4356	12794
254	4365	12755
255	4376	12719
256	4387	12685
257	4397	12648
258	4407	12609
259	4417	12573
260	4427	12537
261	4438	12501
262	4448	12466
263	4458	12430
264	4468	12394
265	4478	12357
266	4490	12328
267	4501	12294
268	4515	12270
269	4525	12234
270	4535	12200
271	4546	12169
272	4558	12139
273	4569	12106
274	4581	12078
275	4595	12055
276	4605	12020
277	4618	11995
278	4634	11977
279	4647	11951
280	4656	11915
281	4668	11887
282	4683	11867
283	4695	11839
284	4705	11804
285	4718	11780
286	4730	11753
287	4744	11728
288	4753	11694
289	4766	11668
290	4776	11638
291	4786	11604
292	4797	11575
293	4808	11546
294	4816	11511
295	4829	11485
296	4838	11452
297	4849	11423
298	4860	11395
299	4869	11362
300	4881	11336
301	4894	11313
302	4906	11287
303	4917	11258
304	4930	11234
305	4944	11213
306	4955	11187
307	4967	11161
308	4981	11140
309	4994	11116
310	5005	11088
311	5021	11071
312	5034	11049
313	5043	11019
314	5061	11007
315	5080	10996
316	5093	10973
317	5104	10947
318	5115	10919
319	5126	10894
320	5139	10870
321	5153	10850
322	5163	10823
323	5173	10794
324	5186	10772
325	5198	10748
326	5209	10721
327	5223	10701
328	5237	10681
329	5248	10656
330	5259	10629
331	5269	10603
332	5282	10580
333	5291	10551
334	5301	10524
335	5314	10502
336	5324	10475
337	5334	10448
338	5347	10427
339	5360	10405
340	5370	10378
341	5383	10357
342	5398	10340
343	5409	10316
344	5418	10286
345	5428	10260
346	5436	10230
347	5446	10204
348	5458	10182
349	5468	10155
350	5478	10129
351	5488	10104
352	5497	10075
353	5507	10049
354	5516	10022
355	5526	9997
356	5535	9970
357	5545	9945
358	5556	9921
359	5565	9894
360	5576	9870
361	5586	9845
362	5594	9816
363	5604	9792
364	5613	9765
365	5622	9740
366	5631	9712
367	5641	9687
368	5652	9666
369	5661	9639
370	5670	9614
371	5680	9589
372	5692	9569
373	5706	9550
374	5715	9526
375	5725	9501
376	5734	9476
377	5744	9452
378	5759	9436
379	5768	9412
380	5779	9390
381	5790	9367
382	5801	9346
383	5810	9321
384	5822	9300
385	5833	9278
386	5842	9253
387	5855	9235
388	5865	9212
389	5874	9187
390	5899	9189
391	5917	9177
392	5927	9155
393	5935	9129
394	5946	9107
395	5954	9082
396	5964	9059
397	5974	9037
398	5985	9015
399	5995	8993
400	6007	8974
401	6019	8954
402	6030	8933
403	6039	8909
404	6051	8889
405	6063	8870
406	6073	8849
407	6084	8829
408	6096	8808
409	6105	8785
410	6117	8766
411	6128	8746
412	6137	8722
413	6148	8702
414	6158	8680
415	6166	8657
416	6177	8637
417	6192	8621
418	6202	8601
419	6214	8581
420	6227	8564
421	6237	8542
422	6246	8520
